ffc5acbf7b	00a25ec78d
00783cecf3	ff87090efc
fdf105526c	0014f685bb
ff3c60d207	005876cc35
014ec48991	ffe8afe6e1
0105147930	00219026cc
ffa28b44d4	00439b85ae
fdf9e5e4b7	003ec48ef4
fee734a3d6	004ca01b0b
00c3dd1197	006b56d716
0145f348d3	00336cafed
00c121d0b3	006357a3ac
ff334ee538	0084c3a0ba
009f09037d	0041ade117
ff5419ee12	006c10613b
ff7bbb4b7e	0085d9d7e2
00141a33fb	ffbe833a23
fef303a70f	ffc904a898
009c024144	ffa6a4ce0d
ff5e54a28a	ffa3e7047b
ff5753d150	0003f5bc33
00e8eabdeb	005e869caf
0043e58d4f	ffe0853120
009984016f	ffde183aeb
fe826a239d	ffd85e2c41
ffba323427	ff976b8faf
ffdf820004	fff0ec66fa
ff5c2748bf	ffdb4003a3
ff49c97a49	ffe3e57c73
000b39184e	0027b0c750
003f494319	ff58f38266
fff282ed82	ff314578c4
003d069308	0079f6348a
ff5f21f4d0	ff8875d569
ffee475538	ffddc24ce2
0095084059	00919eea9e
ff8a915fd3	ffa12d63e7
fffd01f239	00393b4d09
000da08c1a	001d1a680d
000c993b73	0050aa934d
00945e8beb	002960e3e7
ff72a97318	ffc0d80efb
ffcbd8dfb8	ffe651cc62
00c8f70f9f	ff07163d3d
ff19ea7453	fff1ccbfb5
ffcb2cf178	ffd33357dd
001bcffd6d	ffd0422b0c
ff5da0713f	0038cb226e
ffda6fe049	003d45f13e
ffa2a3445a	006420599a
00ed16ed00	0085e75732
ffa073437b	001b31117f
fec0c6902d	ff2a76ed1c
fef3ddb8c9	ffbe4a897b
0130e7cf84	0037c0f9b1
01908905c5	0086ad3dbc
fe4bde9ee5	008e8d7671
ffa0de33ca	fff5b6692d
0003895880	ffa707bf28
00a30312c6	ffea2f4484
ff9f552ba7	001f1532d2
fee39f09d1	0009d193b4
0067a0c2ca	0060bb9382
fee4829198	fffd1a36c8
ff6b97019f	fff8f98cc5
002c1a7197	0061bbf736
ffa6dd424c	ff8bb37504
0083a9121e	ffdcd9d578
00136c48de	0043c7f9a0
ffb55f6dfe	004c183d2f
ff508a6f75	001ffe5bd9
ffe235add1	ffa83653a7
0033c62cb7	005971cf43
00232724da	fff190e7e7
ffef79ae9c	0095f8293d
ff752cb6b9	ffa508132a
000ca73314	0037d02eb0
00a47a415d	000546d221
fff98f13e4	ff5d5efe87
006f160ca3	fff476688d
00a67ac94d	ffc5c73b4f
ffa344c83d	00161c08ba
ffdbf2e1e9	ffb6060cb7
ffa7d094f4	006bb9c288
0096864b26	00baf6bdbf
ffbeadad5c	ff9227e109
ff99de2226	0042394927
007db3123a	ffa4e7c684
000ac00504	ff846512eb
00046b763f	0031828dd5
002cec6e03	0057021446
0044e36ca5	003ea98cb7
ff81576961	ff7a229004
0017fb87bb	ffbf8bab14
002021367f	fff939ab85
ffd2752bc2	009170fd8b
ff8bc92c72	004e52ce54
fff0d7b33e	ffe3cc6584
ffdbaae479	fffb2e9344
ff4587ffd5	fff3ce9fa3
002565824d	ffecce29ed
ff8d0cd5f4	004c23aa77
000e876cfc	00222818a0
ff7451bf32	007b30f5d0
ffd2418f02	00396bc89e
0001cd728b	ffe5836a4b
ff9b54c890	ffe397dcfa
ffd75e2ac5	ffaf8170f6
ffa084671f	005646feb9
fff02172f0	00423294fd
ffb298e87f	0023449640
ffe328c5c0	ffc44fe4e1
006abac81e	fff5d04dc0
00af6ac4df	ffdbcb24e2
fff255f0be	ff8cab1387
00546faca5	ffe3f5ef23
fff412d353	fff0d3e60a
003b471cc0	0057b93aa4
007da9c040	ffed32320c
0025a927f1	ffe12f04e3
ffab3dfc62	fff40f2d58
001506814b	0014b33c30
00c288bb7a	ffce42fdd8
00760e26aa	ffc41bba09
ff84ab132a	004d2f716a
fff74d9275	00069ed769
0053dbbc57	ffdc559122
002d48f833	ffc9837fe9
ffd719de76	000f710c67
001c3264da	0002628f14
008f6499df	0026f0b551
ffde628a0c	0042c43217
fff4072a32	ffd321a5ef
00532e1f36	fff3a856d5
0048cef135	00198bcde4
fff3fe80d5	00012ef46a
ff940d5925	002f661ee5
003ea7ace3	001a7f2463
00449eb4ae	003d15cb41
00808ee1b4	ffe5fb1696
000182ca55	0003662ee3
ffdb28f8ca	fffb097867
002ef5bd4c	0032c71a09
0034c64532	00189f15c0
ffb47e75fb	fff887d9f9
ffccefabb9	0017fd0b10
0000a4f772	00152a53d0
000366953c	00081daf84
001f6161ae	fff03d48aa
ffbc030ae4	001cfa5b6c
00062bef1b	000669c626
0060962c34	ffff0ff0aa
ffda25cf0b	0005f2eef4
ff8772239a	0014e6077c
001cbeb0ec	00065474a8
001427389e	0000006bf0
ffc3948e60	0000000000
ffdef32220	0000000000
